DOEID,House,School,Income,Climate,UR,TOTSQFT,HDD65,CDD65,KWH,TOTALBTUSPH,TOTALBTUCOL,STOVEN,OVEN
161,Single-Family Detached,Some College,32500,"Very Cold/
Cold",U,875,5744,684,8501,42948,1366,1,0
163,Single-Family Detached,Some k-12,32500,Mixed-Humid,U,2081,3224,1868,11481,31657,6715,1,0
165,Single-Family Detached,Master's,92500,"Very Cold/
Cold",U,3356,5726,785,5160,39463,828,0,1
167,Single-Family Detached,Bachlor's,37500,Mixed-Humid,U,2471,5037,894,10802,55233,4628,1,0
168,Single-Family Detached,Master's,52500,"Very Cold/
Cold",U,2588,5965,702,3386,92187,0,1,0
169,Single-Family Detached,Bachlor's,130000,Mixed-Humid,U,6798,3330,1659,18196,8987,6903,1,0
171,Single-Family Detached,Some k-12,22500,"Very Cold/
Cold",U,1924,6321,666,15351,65458,0,1,0
172,Single-Family Detached,Associate's,67500,"Very Cold/
Cold",U,1945,6070,714,13161,46928,3972,1,0
173,Single-Family Detached,Bachlor's,57500,"Very Cold/
Cold",U,2697,7176,254,3260,67199,192,1,0
174,Single-Family Detached,Bachlor's,42500,Hot-Humid,U,2300,2350,2457,29395,11586,16554,1,0
176,Single-Family Detached,Some k-12,17500,"Very Cold/
Cold",R,2714,7025,565,31247,3619,0,1,0
177,Single-Family Detached,Some k-12,12500,Hot-Humid,U,1092,840,4617,11247,18475,16691,1,0
179,Single-Family Detached,High School,97500,Mixed-Humid,U,3384,4183,1532,7060,61329,6421,1,0
180,Single-Family Detached,Master's,130000,"Very Cold/
Cold",U,2592,6498,547,10156,47570,0,1,0
181,Single-Family Detached,Some College,42500,"Very Cold/
Cold",U,912,5705,506,5780,74622,322,1,0
182,Single-Family Detached,High School,8750,"Very Cold/
Cold",U,2775,6278,464,10805,71265,0,1,0
183,Single-Family Detached,Associate's,42500,Mixed-Humid,R,2048,4254,1037,10013,9106,4248,1,0
184,Single-Family Detached,Some k-12,12500,"Very Cold/
Cold",R,1699,6576,146,11162,25083,339,1,0
185,Single-Family Detached,High School,130000,"Very Cold/
Cold",U,5256,5589,674,12528,135639,0,1,1
186,Single-Family Detached,Some College,32500,"Very Cold/
Cold",U,2131,6267,627,4750,99791,1168,0,1
187,Single-Family Detached,Bachlor's,82500,"Very Cold/
Cold",U,1632,7442,307,5203,40560,0,1,0
188,Single-Family Detached,Professional,130000,"Hot-Dry/
Mixed-Dry",U,1966,1228,1857,18944,34547,16169,1,0
191,Single-Family Detached,Master's,27500,"Very Cold/
Cold",U,5850,6690,473,2163,108881,0,1,1
193,Single-Family Detached,Some College,27500,"Hot-Dry/
Mixed-Dry",U,2442,1073,4290,13127,6207,18671,1,0
194,Single-Family Detached,Master's,77500,Hot-Humid,R,2700,2755,1952,20510,15918,9263,1,0
195,Single-Family Attached,Bachlor's,82500,"Hot-Dry/
Mixed-Dry",U,1335,2302,1512,6994,18582,1976,1,0
196,Single-Family Attached,Some College,22500,"Very Cold/
Cold",U,1560,6295,882,5433,46708,2047,1,0
198,Single-Family Attached,Some College,62500,"Very Cold/
Cold",U,2541,6674,315,8572,97937,482,1,0
199,Single-Family Detached,High School,17500,Hot-Humid,U,1176,2332,2392,11196,19892,11501,1,0
201,Single-Family Detached,Master's,92500,Mixed-Humid,R,7200,3944,1378,11100,7143,14693,0,1
202,Single-Family Detached,Bachlor's,42500,"Very Cold/
Cold",U,4182,6499,374,8075,97246,1796,1,0
203,Single-Family Detached,High School,87500,Mixed-Humid,U,834,3541,1818,21857,16396,5822,1,0
206,Single-Family Detached,High School,22500,"Very Cold/
Cold",U,4045,5847,545,7345,1585,0,1,0
207,Single-Family Detached,Bachlor's,52500,"Hot-Dry/
Mixed-Dry",U,2118,3073,2286,13648,9324,18314,1,0
208,Single-Family Detached,Bachlor's,52500,Hot-Humid,U,3132,624,3551,11963,1229,15064,1,0
209,Single-Family Detached,High School,22500,"Very Cold/
Cold",U,3474,7550,285,6253,71937,0,1,0
211,Single-Family Detached,High School,82500,"Very Cold/
Cold",R,3521,5203,831,20742,134391,9025,1,0
213,Single-Family Detached,Some College,22500,"Very Cold/
Cold",U,2496,6540,185,17506,33471,0,1,0
214,Single-Family Detached,High School,87500,"Very Cold/
Cold",R,3480,7787,497,17821,54163,3350,2,0
215,Single-Family Attached,Some College,130000,Marine,U,1566,2368,580,5606,5288,0,1,0
216,Single-Family Detached,High School,67500,"Very Cold/
Cold",U,2636,7255,325,11823,84756,657,1,0
219,Single-Family Detached,High School,47500,Hot-Humid,U,900,487,3909,13008,2597,17477,1,0
221,Single-Family Attached,Bachlor's,130000,Mixed-Humid,U,4169,4868,1042,15502,41744,2596,1,0
222,Single-Family Detached,Bachlor's,92500,"Very Cold/
Cold",U,3578,8128,253,13974,116417,1002,0,1
223,Single-Family Detached,Master's,97500,"Hot-Dry/
Mixed-Dry",U,3270,1285,1193,4787,11027,0,1,0
224,Single-Family Detached,Some k-12,57500,Mixed-Humid,U,1150,3347,1618,18577,19223,0,1,0
226,Single-Family Detached,High School,110000,"Very Cold/
Cold",U,2320,7060,409,10317,98501,2376,1,0
228,Mobile Home,Some College,32500,"Very Cold/
Cold",U,980,5055,853,14137,18072,3471,1,0
229,Single-Family Attached,Associate's,77500,Mixed-Humid,U,1620,4678,1051,12734,56427,906,2,0
230,Single-Family Detached,Some College,22500,"Hot-Dry/
Mixed-Dry",U,1710,1142,1941,11426,6217,3798,1,0
233,Single-Family Detached,Bachlor's,130000,"Hot-Dry/
Mixed-Dry",U,4601,1143,1939,9199,16667,8601,0,2
235,Single-Family Detached,High School,22500,"Very Cold/
Cold",U,1920,7630,633,2501,49188,886,1,0
236,Single-Family Detached,Bachlor's,32500,"Hot-Dry/
Mixed-Dry",R,1856,3704,1017,12694,27681,6278,1,0
237,Single-Family Detached,Associate's,110000,Hot-Humid,R,2220,2329,2260,23075,7487,14567,1,0
238,Single-Family Detached,Bachlor's,130000,Mixed-Humid,U,3104,5011,974,13744,90544,7434,1,0
239,Single-Family Detached,Some College,110000,Mixed-Humid,R,1482,3139,1758,21156,16442,5083,1,0
240,Mobile Home,Some College,27500,Hot-Humid,R,1680,736,3463,12322,3580,14367,1,0
242,Single-Family Detached,Bachlor's,87500,Mixed-Humid,U,1656,5069,1090,10333,56842,7143,1,0
243,Single-Family Detached,Master's,130000,"Very Cold/
Cold",U,4352,6444,421,15635,80557,1625,1,0
244,Single-Family Detached,Some College,77500,Mixed-Humid,U,3179,5081,1087,13820,99753,4037,1,0
245,Single-Family Detached,Associate's,37500,Hot-Humid,U,2484,468,3769,10081,2573,13894,1,0
246,Mobile Home,Some College,17500,Hot-Humid,U,966,2518,2424,10134,5840,5354,1,0
249,Single-Family Detached,Some College,52500,"Very Cold/
Cold",U,2736,6669,533,7549,88856,2909,1,0
250,Single-Family Detached,Some College,57500,"Very Cold/
Cold",U,1976,7379,681,5614,48187,2164,1,0
251,Single-Family Detached,High School,72500,Mixed-Humid,U,2226,4656,1369,14664,57463,8262,1,0
252,Single-Family Detached,Some k-12,12500,"Very Cold/
Cold",U,1896,6024,674,9899,49862,6522,1,0
253,Single-Family Attached,Some College,1250,Mixed-Humid,U,1708,4390,1288,11437,84675,3179,1,0
254,Single-Family Detached,Associate's,92500,Mixed-Humid,U,3352,5334,610,2133,59636,0,2,0
256,Single-Family Detached,Associate's,12500,Hot-Humid,U,4998,1403,2834,14225,7677,11917,0,1
258,Single-Family Detached,No schooling,27500,"Very Cold/
Cold",R,2732,5920,671,5635,83101,0,1,0
259,Single-Family Detached,High School,52500,Mixed-Humid,U,861,4824,1300,7452,43418,2404,1,0
260,Single-Family Attached,High School,27500,"Very Cold/
Cold",U,1080,6755,265,9083,56359,1078,1,0
264,Single-Family Detached,Some College,130000,"Very Cold/
Cold",U,2058,5552,684,10400,75947,0,1,0
266,Single-Family Attached,Bachlor's,62500,Hot-Humid,U,1600,678,3585,18471,5217,17311,1,0
267,Single-Family Detached,Associate's,22500,"Very Cold/
Cold",U,2521,4362,1387,4261,27738,0,1,0
271,Single-Family Detached,Associate's,72500,Hot-Humid,U,2346,1291,3398,7683,20414,15252,1,0
272,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",U,3870,7885,504,12067,93664,5001,1,0
273,Mobile Home,High School,72500,Mixed-Humid,U,720,4983,865,13733,78003,1501,1,0
274,Single-Family Detached,Some College,77500,Hot-Humid,R,2267,1009,2647,14273,6515,14025,1,0
276,Single-Family Attached,Master's,110000,"Hot-Dry/
Mixed-Dry",U,1321,2595,226,3496,24243,0,1,0
277,Single-Family Detached,High School,130000,"Very Cold/
Cold",R,3552,6975,325,10021,87329,485,0,2
279,Mobile Home,Some k-12,22500,"Very Cold/
Cold",U,840,7006,299,7857,65987,571,1,0
280,Single-Family Detached,Master's,67500,Marine,U,1312,1504,866,1877,23256,0,1,0
282,Single-Family Detached,Some College,110000,"Very Cold/
Cold",U,3912,6872,365,16157,113751,1241,1,0
283,Single-Family Detached,Some College,67500,Mixed-Humid,U,1728,5157,754,19050,50069,5046,1,0
284,Single-Family Detached,Bachlor's,130000,Hot-Humid,U,1050,579,3645,16357,2201,7857,1,0
285,Single-Family Detached,Some k-12,47500,"Hot-Dry/
Mixed-Dry",U,1116,1060,806,5083,0,0,1,0
286,Single-Family Attached,Some College,37500,Mixed-Humid,U,2394,4572,1214,4431,136018,726,1,0
287,Single-Family Detached,Bachlor's,130000,Hot-Humid,U,2204,1956,2814,16183,25618,17825,1,0
288,Single-Family Detached,Some College,12500,"Very Cold/
Cold",R,2111,6774,591,16449,54481,1323,1,0
289,Single-Family Detached,Some College,72500,Mixed-Humid,R,3000,2610,1941,15173,6827,4047,1,0
290,Single-Family Detached,Some College,22500,Mixed-Humid,U,1125,4276,1103,13835,13088,4938,1,0
291,Single-Family Detached,Master's,32500,Hot-Humid,R,1806,500,3618,3518,1056,4870,1,0
292,Single-Family Detached,Some College,47500,Mixed-Humid,U,3000,5396,645,6278,59484,2039,1,0
293,Single-Family Detached,Associate's,110000,"Hot-Dry/
Mixed-Dry",U,2772,2433,994,5531,22469,3477,0,1
294,Single-Family Detached,High School,57500,Marine,U,750,7885,87,22442,27048,0,1,0
295,Single-Family Detached,High School,110000,"Very Cold/
Cold",U,3240,6452,527,11166,91225,2117,1,0
296,Single-Family Detached,Master's,27500,"Very Cold/
Cold",U,2475,5768,566,4904,87679,809,1,0
298,Single-Family Detached,High School,77500,"Hot-Dry/
Mixed-Dry",U,2205,1217,1870,13981,0,0,1,1
300,Mobile Home,Some k-12,8750,"Very Cold/
Cold",R,980,5333,781,7644,51584,1447,1,0
301,Single-Family Attached,Some College,27500,"Very Cold/
Cold",U,3643,7913,438,13300,9985,486,1,0
303,Single-Family Detached,Associate's,87500,Mixed-Humid,U,3080,3056,1654,13975,38304,11040,1,0
304,Single-Family Detached,Some College,32500,Mixed-Humid,R,2847,4561,1489,7189,17209,3581,1,0
305,Single-Family Detached,Some College,27500,Hot-Humid,U,800,2256,2569,7512,8113,7280,1,0
306,Single-Family Detached,Associate's,37500,"Very Cold/
Cold",U,2596,6644,354,6774,129364,715,1,0
307,Single-Family Detached,Master's,130000,"Hot-Dry/
Mixed-Dry",U,1707,1132,1581,7204,13249,3417,1,0
310,Single-Family Attached,Some College,82500,Mixed-Humid,U,1609,4092,1531,6260,31972,4413,1,0
311,Single-Family Detached,Some College,110000,"Very Cold/
Cold",U,4694,5792,644,8894,108814,2104,0,1
312,Mobile Home,High School,27500,Mixed-Humid,R,1848,3353,1592,14973,11809,4696,1,0
313,Single-Family Detached,Bachlor's,72500,"Very Cold/
Cold",U,2676,6397,525,15158,58283,3044,1,0
315,Single-Family Detached,High School,37500,Marine,U,1248,5162,313,14481,13033,0,1,0
316,Mobile Home,Some k-12,27500,"Very Cold/
Cold",R,980,7449,266,701,0,11,1,0
317,Single-Family Detached,Some k-12,17500,Hot-Humid,U,994,1447,2733,13258,9012,11319,1,0
318,Single-Family Detached,High School,57500,"Very Cold/
Cold",R,2016,6763,380,9905,61162,1050,1,0
319,Single-Family Attached,Some College,32500,Hot-Humid,U,1866,2060,2819,8622,20442,10123,1,0
320,Single-Family Detached,High School,1250,Hot-Humid,R,3340,1055,2888,16065,7355,12589,1,0
321,Single-Family Detached,Master's,37500,"Hot-Dry/
Mixed-Dry",U,1136,829,1752,7517,26600,0,1,0
322,Single-Family Detached,Some College,67500,"Very Cold/
Cold",U,2854,6894,377,7029,76727,474,1,0
323,Single-Family Detached,Some College,130000,"Hot-Dry/
Mixed-Dry",U,2208,1534,1914,9427,5316,3439,1,0
324,Single-Family Detached,High School,130000,Mixed-Humid,R,1863,3467,1584,26081,26345,10045,1,0
327,Single-Family Detached,High School,67500,"Hot-Dry/
Mixed-Dry",U,3550,786,1953,19593,27607,8498,1,0
328,Mobile Home,High School,27500,Mixed-Humid,U,1280,3987,1193,20071,10141,4591,1,0
329,Mobile Home,High School,67500,"Very Cold/
Cold",U,1216,6003,715,9814,39580,3136,1,0
330,Single-Family Attached,Bachlor's,47500,Hot-Humid,U,409,1120,3357,17629,17594,13866,1,0
332,Single-Family Attached,Doctorate,72500,Mixed-Humid,U,2030,4245,1510,6777,38861,5725,1,0
337,Single-Family Detached,Some College,130000,Mixed-Humid,U,2284,5338,809,25811,23836,2380,1,0
338,Single-Family Detached,High School,97500,Mixed-Humid,R,3036,3938,1474,19344,14800,9095,1,0
339,Single-Family Detached,High School,57500,"Hot-Dry/
Mixed-Dry",U,1908,1725,1460,3237,9781,498,1,0
340,Single-Family Detached,Bachlor's,27500,Hot-Humid,U,1620,488,3819,9621,1674,8660,0,1
343,Single-Family Attached,Associate's,32500,Mixed-Humid,U,1305,4220,1122,10965,10161,3628,1,0
345,Single-Family Detached,Professional,130000,Mixed-Humid,U,4357,4956,753,13549,193769,9505,1,0
346,Single-Family Detached,Bachlor's,97500,Marine,U,1809,2321,610,6075,27235,0,0,1
347,Single-Family Detached,High School,27500,Marine,U,1732,5032,267,11538,10642,903,1,0
348,Single-Family Attached,Some k-12,17500,Mixed-Humid,U,1326,4916,913,15459,9857,1187,1,0
349,Single-Family Detached,Associate's,6250,Mixed-Humid,U,1040,4297,1320,4117,48475,0,1,0
350,Single-Family Detached,Bachlor's,77500,"Very Cold/
Cold",R,1800,7222,264,10508,12495,0,1,0
353,Single-Family Detached,High School,8750,"Very Cold/
Cold",U,1800,5984,757,8044,73938,0,1,0
354,Single-Family Detached,Associate's,52500,"Very Cold/
Cold",U,3220,7173,454,11271,54285,3178,0,1
355,Single-Family Detached,High School,47500,"Very Cold/
Cold",U,1896,6318,583,7003,59161,1654,1,0
358,Single-Family Detached,Master's,110000,Mixed-Humid,R,2557,4415,1262,24563,37132,6117,1,1
359,Single-Family Attached,Some College,92500,Mixed-Humid,U,1728,4852,878,6139,58908,6137,1,0
360,Single-Family Detached,High School,42500,"Very Cold/
Cold",U,2277,4942,820,8046,108337,779,1,0
361,Single-Family Detached,High School,32500,Mixed-Humid,R,1536,5369,871,8234,30789,3880,1,0
362,Single-Family Detached,Associate's,12500,"Very Cold/
Cold",U,2160,6071,615,4522,64991,2926,0,1
364,Single-Family Detached,Some College,72500,"Very Cold/
Cold",R,2200,6872,343,22822,12526,1482,1,0
365,Single-Family Detached,Associate's,32500,Mixed-Humid,R,3573,4714,1148,20791,55926,11906,1,0
366,Single-Family Detached,Some k-12,17500,"Hot-Dry/
Mixed-Dry",U,1440,866,1764,4942,0,3049,1,0
367,Single-Family Detached,Associate's,57500,Marine,U,1570,5070,255,13453,11397,160,1,0
368,Single-Family Detached,Bachlor's,62500,Hot-Humid,U,2220,2004,2234,27328,6821,17646,1,0
370,Single-Family Detached,Some College,52500,Mixed-Humid,R,3276,5274,904,12871,44336,8728,1,0
371,Single-Family Detached,High School,37500,"Hot-Dry/
Mixed-Dry",U,2200,1342,2008,9362,3921,6235,1,0
373,Single-Family Detached,Bachlor's,87500,"Very Cold/
Cold",U,2351,6684,323,14577,61856,0,1,0
374,Single-Family Detached,High School,8750,Mixed-Humid,R,1042,4528,1130,5402,76340,1673,1,0
375,Single-Family Detached,Professional,130000,"Very Cold/
Cold",U,3488,7504,669,13830,92426,3323,1,0
376,Single-Family Detached,Bachlor's,97500,"Very Cold/
Cold",R,2449,9295,154,17055,64753,885,1,0
378,Single-Family Detached,High School,32500,"Very Cold/
Cold",U,1920,8121,329,14242,116173,0,1,0
380,Single-Family Detached,High School,12500,Hot-Humid,U,1830,1529,3333,19179,19931,15455,1,0
381,Single-Family Detached,High School,27500,"Hot-Dry/
Mixed-Dry",R,2217,3704,1017,9433,42104,4085,0,2
382,Single-Family Attached,Some College,42500,Mixed-Humid,U,836,5194,1064,5960,28234,685,1,0
383,Single-Family Detached,Associate's,72500,"Very Cold/
Cold",U,1655,6482,436,5354,75859,0,1,0
384,Single-Family Detached,Bachlor's,57500,Marine,U,3369,2856,97,4974,35479,0,1,0
